key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_practice1.keys,key_resp_practice1.corr,practice_1.thisRepN,practice_1.thisTrialN,practice_1.thisN,practice_1.thisIndex,practice_1.ran,square,loc1,loc2,stim,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,key_resp_practice2.keys,key_resp_practice2.corr,practice_2.thisRepN,practice_2.thisTrialN,practice_2.thisN,practice_2.thisIndex,practice_2.ran,key_resp_practice2.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,1.48475,space,2.078175,,0,0,0,0,0,1,1,-0.12,0.12,▲,left,,001,2020-05-24_10h59.32.633,TaskSwitching,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,1,1,1,1,2,0.12,0.12,∎,right,,001,2020-05-24_10h59.32.633,TaskSwitching,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,2,2,2,1,1,-0.12,0.12,▲,left,,001,2020-05-24_10h59.32.633,TaskSwitching,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,3,3,3,1,2,0.12,0.12,∎,right,,001,2020-05-24_10h59.32.633,TaskSwitching,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,4,4,4,1,1,-0.12,0.12,∎,right,,001,2020-05-24_10h59.32.633,TaskSwitching,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,5,5,5,1,2,0.12,0.12,▲,left,,001,2020-05-24_10h59.32.633,TaskSwitching,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,6,6,6,1,1,-0.12,0.12,∎,right,,001,2020-05-24_10h59.32.633,TaskSwitching,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,7,7,7,1,2,0.12,0.12,▲,left,,001,2020-05-24_10h59.32.633,TaskSwitching,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,8,8,8,1,1,-0.12,0.12,▲,left,,001,2020-05-24_10h59.32.633,TaskSwitching,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,9,9,9,1,2,0.12,0.12,∎,right,,001,2020-05-24_10h59.32.633,TaskSwitching,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,
